Stethoscope	ECG
-0.0976563	0.0430298
-0.186157	0.0430298
-0.211792	0.0436401
-0.172424	0.045166
-0.111389	0.0469971
-0.0466919	0.0497437
0.022583	0.0540161
0.0912476	0.0588989
0.1474	0.0637817
0.162964	0.0680542
0.162354	0.0720215
0.167542	0.0750732
0.148315	0.0778198
0.0979614	0.0796509
0.0296021	0.0799561
-0.0656128	0.0796509
-0.137939	0.0796509
-0.177307	0.0793457
-0.180969	0.0784302
-0.162354	0.0775146
-0.112	0.0769043
-0.0662231	0.0769043
-0.0216675	0.0784302
0.0286865	0.0805664
0.0704956	0.083313
0.115967	0.0857544
0.128174	0.088501
0.122681	0.0912476
0.114136	0.093689
0.093689	0.0970459
0.0830078	0.100098
0.0476074	0.102539
0.00610352	0.104065
-0.0280762	0.105286
-0.0646973	0.106506
-0.0872803	0.108032
-0.0933838	0.109558
-0.0848389	0.110779
-0.0616455	0.111694
-0.0439453	0.112305
-0.0317383	0.11261
-0.0387573	0.11322
-0.0579834	0.115356
-0.0640869	0.118713
-0.0686646	0.121765
-0.0875854	0.123901
-0.0854492	0.125732
-0.0259399	0.127563
0.0494385	0.130005
0.101624	0.133057
0.140991	0.135193
0.169983	0.136108
0.184631	0.137024
0.175171	0.138855
0.126648	0.13916
0.0643921	0.136719
0.00762939	0.132751
-0.0610352	0.1297
-0.10437	0.127258
-0.148621	0.124207
-0.177612	0.118408
-0.157776	0.110779
-0.106506	0.103149
-0.0335693	0.0964355
0.0201416	0.090332
0.055542	0.0848389
0.0836182	0.0802612
0.0976563	0.0759888
0.0820923	0.0714111
0.062561	0.065918
0.0457764	0.0592041
0.00762939	0.0521851
-0.0183105	0.0448608
-0.0628662	0.0375366
-0.0720215	0.0308228
-0.0469971	0.0241089
-0.0271606	0.0170898
-0.0354004	0.010376
-0.0408936	0.00518799
-0.038147	0.00152588
-0.0311279	-0.00152588
0.00854492	-0.00396729
0.017395	-0.00579834
0.0592041	-0.00640869
0.0802612	-0.00640869
0.0701904	-0.00671387
0.0689697	-0.00732422
0.038147	-0.00823975
0.0192261	-0.0100708
0.00488281	-0.0109863
0.000305176	-0.0109863
-0.0238037	-0.0100708
-0.0341797	-0.00823975
-0.0778198	-0.00640869
-0.147705	-0.00488281
-0.198975	-0.00396729
-0.194702	-0.00335693
-0.078125	-0.0012207
0.0595093	0.00152588
0.177002	0.00396729
0.224304	0.00518799
0.222168	0.00579834
0.160522	0.00671387
0.0921631	0.00701904
-0.00518799	0.00457764
-0.105591	0
-0.128174	-0.00427246
-0.0976563	-0.00671387
-0.0180054	-0.00793457
0.0497437	-0.00915527
0.0643921	-0.0106812
0.0341797	-0.0119019
-0.0012207	-0.012207
-0.0466919	-0.0134277
-0.0927734	-0.0149536
-0.0982666	-0.0143433
-0.0695801	-0.0119019
0	-0.0100708
0.0567627	-0.0100708
0.0656128	-0.0115967
0.0494385	-0.0131226
0.0283813	-0.0137329
-0.0222778	-0.0125122
-0.0561523	-0.00915527
-0.0665283	-0.00488281
-0.0518799	-0.000915527
0.00183105	0.00213623
0.0369263	0.00549316
0.0430298	0.00854492
0.0479126	0.0100708
0.0271606	0.0112915
0.0088501	0.0125122
0.0109863	0.0125122
0.00701904	0.0112915
