L I	L III	L II(Calc.)
-0.0582886	-0.0198364	-0.078125
-0.0579834	-0.0186157	-0.0765991
-0.0567627	-0.0164795	-0.0732422
-0.055542	-0.0137329	-0.0692749
-0.0537109	-0.0100708	-0.0637817
-0.0524902	-0.00549316	-0.0579834
-0.0518799	0.000915527	-0.0509644
-0.0518799	0.0088501	-0.0430298
-0.0518799	0.0180054	-0.0338745
-0.0515747	0.0268555	-0.0247192
-0.0500488	0.0344849	-0.015564
-0.0482178	0.0408936	-0.00732422
-0.0469971	0.0460815	-0.000915527
-0.0463867	0.0509644	0.00457764
-0.0463867	0.0558472	0.00946045
-0.0460815	0.06073	0.0146484
-0.0454712	0.0671387	0.0216675
-0.0448608	0.0753784	0.0305176
-0.045166	0.0857544	0.0405884
-0.0473022	0.0985718	0.0512695
-0.0500488	0.11261	0.062561
-0.0524902	0.127258	0.0747681
-0.0543213	0.141602	0.0872803
-0.0552368	0.154114	0.098877
-0.0552368	0.163269	0.108032
-0.0543213	0.167847	0.113525
-0.0531006	0.167847	0.114746
-0.0515747	0.16449	0.112915
-0.0485229	0.157471	0.108948
-0.0448608	0.1474	0.102539
-0.0421143	0.135193	0.0930786
-0.0408936	0.12207	0.0811768
-0.0411987	0.108948	0.067749
-0.0424194	0.0961304	0.0537109
-0.0439453	0.0827026	0.0387573
-0.0454712	0.0686646	0.0231934
